pth,dice,iou,recall,precision,specificity
./Checkpoints/BUSI/AAUnet_32_2.pth,0.1255,0.073,0.8513,0.073,0.0
./Checkpoints/BUSI/AAUnet_32_2.pth,0.1255,0.073,0.8513,0.073,0.0
./Checkpoints/BUSI/AAUnet_32_2.pth,0.1255,0.073,0.8513,0.073,0.0001
./Checkpoints/BUSI/AAUnet_32_2.pth,0.1256,0.0731,0.8512,0.0731,0.0022
./Checkpoints/BUSI/AAUnet_32_2.pth,0.1655,0.0974,0.8473,0.0976,0.3375
./Checkpoints/BUSI/AAUnet_32_2.pth,0.4742,0.3588,0.7661,0.3801,0.8794
./Checkpoints/BUSI/AAUnet_32_2.pth,0.6148,0.5241,0.6483,0.5552,0.9691
./Checkpoints/BUSI/AAUnet_32_2.pth,0.6303,0.5424,0.6319,0.5707,0.9733
./Checkpoints/BUSI/AAUnet_32_2.pth,0.6384,0.5537,0.6143,0.5797,0.9769
./Checkpoints/BUSI/AAUnet_32_2.pth,0.5559,0.4838,0.3893,0.6014,0.997
