pth,dice,iou,recall,precision,specificity
./Checkpoints/BUSI/DeepLabV3_64_2.pth,0.1373,0.0819,0.851,0.0819,0.0778
./Checkpoints/BUSI/DeepLabV3_64_2.pth,0.1644,0.1006,0.8305,0.1006,0.2462
./Checkpoints/BUSI/DeepLabV3_64_2.pth,0.2404,0.1558,0.8275,0.1559,0.5355
./Checkpoints/BUSI/DeepLabV3_64_2.pth,0.3979,0.2892,0.7678,0.2908,0.7952
./Checkpoints/BUSI/DeepLabV3_64_2.pth,0.6024,0.4977,0.7142,0.4572,0.9089
./Checkpoints/BUSI/DeepLabV3_64_2.pth,0.7272,0.641,0.7073,0.5643,0.9516
./Checkpoints/BUSI/DeepLabV3_64_2.pth,0.7789,0.711,0.6378,0.6523,0.9757
./Checkpoints/BUSI/DeepLabV3_64_2.pth,0.7784,0.7118,0.6023,0.6663,0.9789
./Checkpoints/BUSI/DeepLabV3_64_2.pth,0.7863,0.7201,0.5857,0.6689,0.9816
./Checkpoints/BUSI/DeepLabV3_64_2.pth,0.7547,0.6846,0.4938,0.7049,0.9924
