pth,dice,iou,recall,precision,specificity
./Checkpoints/BUSI/SwinUNETR_48_2.pth,0.6018,0.5137,0.6261,0.5801,0.9723
./Checkpoints/BUSI/SwinUNETR_48_2.pth,0.6018,0.5137,0.6261,0.5801,0.9723
./Checkpoints/BUSI/SwinUNETR_48_2.pth,0.6018,0.5137,0.6261,0.5801,0.9723
./Checkpoints/BUSI/SwinUNETR_48_2.pth,0.6018,0.5137,0.6261,0.5801,0.9723
./Checkpoints/BUSI/SwinUNETR_48_2.pth,0.6018,0.5137,0.626,0.5801,0.9723
./Checkpoints/BUSI/SwinUNETR_48_2.pth,0.6019,0.5138,0.6258,0.5804,0.9724
./Checkpoints/BUSI/SwinUNETR_48_2.pth,0.6022,0.5151,0.6176,0.5887,0.9745
./Checkpoints/BUSI/SwinUNETR_48_2.pth,0.6022,0.5158,0.6119,0.5943,0.9759
./Checkpoints/BUSI/SwinUNETR_48_2.pth,0.607,0.5213,0.606,0.5999,0.9773
./Checkpoints/BUSI/SwinUNETR_48_2.pth,0.606,0.5212,0.5971,0.6076,0.9791
