pth,dice,iou,recall,precision,specificity
./Checkpoints/BUSI/TEUnet2_32_2.pth,0.1486,0.0884,0.8512,0.2387,0.2244
./Checkpoints/BUSI/TEUnet2_32_2.pth,0.2439,0.1567,0.8126,0.4598,0.6897
./Checkpoints/BUSI/TEUnet2_32_2.pth,0.4599,0.3471,0.7618,0.5736,0.9161
./Checkpoints/BUSI/TEUnet2_32_2.pth,0.584,0.4871,0.7377,0.6068,0.9556
./Checkpoints/BUSI/TEUnet2_32_2.pth,0.6874,0.6011,0.7179,0.6307,0.9682
./Checkpoints/BUSI/TEUnet2_32_2.pth,0.7302,0.6533,0.6925,0.6585,0.9765
./Checkpoints/BUSI/TEUnet2_32_2.pth,0.7419,0.6706,0.6602,0.6692,0.9825
./Checkpoints/BUSI/TEUnet2_32_2.pth,0.7467,0.6758,0.6549,0.6717,0.9834
./Checkpoints/BUSI/TEUnet2_32_2.pth,0.7506,0.6801,0.6487,0.6732,0.9843
./Checkpoints/BUSI/TEUnet2_32_2.pth,0.7369,0.6667,0.6003,0.6883,0.9892
