pth,dice,iou,recall,precision,specificity
./Checkpoints/BUSI/Unet++_64_2.pth,0.1255,0.073,0.8513,0.073,0.0
./Checkpoints/BUSI/Unet++_64_2.pth,0.1255,0.073,0.8513,0.073,0.0
./Checkpoints/BUSI/Unet++_64_2.pth,0.1272,0.0742,0.8512,0.0742,0.0192
./Checkpoints/BUSI/Unet++_64_2.pth,0.1735,0.1059,0.8444,0.1062,0.3722
./Checkpoints/BUSI/Unet++_64_2.pth,0.287,0.1923,0.8006,0.1975,0.7304
./Checkpoints/BUSI/Unet++_64_2.pth,0.5159,0.4107,0.7144,0.4404,0.9329
./Checkpoints/BUSI/Unet++_64_2.pth,0.6613,0.5781,0.6216,0.6143,0.9774
./Checkpoints/BUSI/Unet++_64_2.pth,0.6659,0.5851,0.6025,0.6345,0.9809
./Checkpoints/BUSI/Unet++_64_2.pth,0.6658,0.5872,0.5807,0.6516,0.984
./Checkpoints/BUSI/Unet++_64_2.pth,0.605,0.5298,0.406,0.6662,0.9967
