pth,dice,iou,recall,precision,specificity
./Checkpoints/BUSI/Unet_64_2.pth,0.1255,0.073,0.8513,0.073,0.0
./Checkpoints/BUSI/Unet_64_2.pth,0.1258,0.0733,0.8513,0.0733,0.0038
./Checkpoints/BUSI/Unet_64_2.pth,0.1316,0.0771,0.8512,0.0771,0.0619
./Checkpoints/BUSI/Unet_64_2.pth,0.1629,0.0986,0.8482,0.0987,0.3072
./Checkpoints/BUSI/Unet_64_2.pth,0.294,0.1985,0.7938,0.2057,0.7545
./Checkpoints/BUSI/Unet_64_2.pth,0.5333,0.4296,0.7026,0.4596,0.9441
./Checkpoints/BUSI/Unet_64_2.pth,0.6665,0.5844,0.6163,0.6099,0.981
./Checkpoints/BUSI/Unet_64_2.pth,0.667,0.5871,0.6056,0.6232,0.983
./Checkpoints/BUSI/Unet_64_2.pth,0.6715,0.5937,0.5945,0.6303,0.9847
./Checkpoints/BUSI/Unet_64_2.pth,0.6241,0.544,0.4143,0.709,0.9967
