pth,dice,iou,recall,precision,specificity
./Checkpoints/HAM10000/AttUnet_64_2.pth,0.3823,0.2599,1.0,0.2599,0.1356
./Checkpoints/HAM10000/AttUnet_64_2.pth,0.3858,0.263,1.0,0.263,0.1514
./Checkpoints/HAM10000/AttUnet_64_2.pth,0.3976,0.2731,1.0,0.2731,0.1987
./Checkpoints/HAM10000/AttUnet_64_2.pth,0.4793,0.344,0.9997,0.3441,0.4348
./Checkpoints/HAM10000/AttUnet_64_2.pth,0.6409,0.504,0.9977,0.5054,0.6994
./Checkpoints/HAM10000/AttUnet_64_2.pth,0.7855,0.6762,0.9902,0.6829,0.8531
./Checkpoints/HAM10000/AttUnet_64_2.pth,0.9094,0.8507,0.9361,0.9053,0.9721
./Checkpoints/HAM10000/AttUnet_64_2.pth,0.9121,0.855,0.9221,0.923,0.9787
./Checkpoints/HAM10000/AttUnet_64_2.pth,0.9116,0.8546,0.9058,0.9387,0.9841
./Checkpoints/HAM10000/AttUnet_64_2.pth,0.8254,0.7328,0.7386,0.9809,0.998
