pth,dice,iou,recall,precision,specificity
./Checkpoints/HAM10000/DeepLabV3_64_2.pth,0.3645,0.2446,1.0,0.2446,0.0503
./Checkpoints/HAM10000/DeepLabV3_64_2.pth,0.3729,0.2516,1.0,0.2516,0.0895
./Checkpoints/HAM10000/DeepLabV3_64_2.pth,0.3934,0.2686,1.0,0.2686,0.174
./Checkpoints/HAM10000/DeepLabV3_64_2.pth,0.4696,0.3335,1.0,0.3335,0.3912
./Checkpoints/HAM10000/DeepLabV3_64_2.pth,0.6512,0.5161,0.9994,0.5164,0.6677
./Checkpoints/HAM10000/DeepLabV3_64_2.pth,0.8198,0.7205,0.9954,0.7239,0.8492
./Checkpoints/HAM10000/DeepLabV3_64_2.pth,0.9315,0.8814,0.9523,0.9248,0.9742
./Checkpoints/HAM10000/DeepLabV3_64_2.pth,0.9331,0.884,0.9331,0.9465,0.9833
./Checkpoints/HAM10000/DeepLabV3_64_2.pth,0.9283,0.8762,0.9088,0.9633,0.9897
./Checkpoints/HAM10000/DeepLabV3_64_2.pth,0.8033,0.7054,0.7074,0.9924,0.9996
