pth,dice,iou,recall,precision,specificity
./Checkpoints/HAM10000/SwinUNETR_48_2.pth,0.9231,0.8678,0.933,0.9297,0.9743
./Checkpoints/HAM10000/SwinUNETR_48_2.pth,0.9231,0.8678,0.933,0.9297,0.9743
./Checkpoints/HAM10000/SwinUNETR_48_2.pth,0.9231,0.8678,0.933,0.9297,0.9743
./Checkpoints/HAM10000/SwinUNETR_48_2.pth,0.9231,0.8678,0.933,0.9297,0.9743
./Checkpoints/HAM10000/SwinUNETR_48_2.pth,0.9231,0.8678,0.933,0.9297,0.9743
./Checkpoints/HAM10000/SwinUNETR_48_2.pth,0.9231,0.8678,0.9329,0.9298,0.9744
./Checkpoints/HAM10000/SwinUNETR_48_2.pth,0.9232,0.8679,0.9301,0.9327,0.9757
./Checkpoints/HAM10000/SwinUNETR_48_2.pth,0.9231,0.8678,0.9281,0.9347,0.9766
./Checkpoints/HAM10000/SwinUNETR_48_2.pth,0.9231,0.8677,0.926,0.9366,0.9775
./Checkpoints/HAM10000/SwinUNETR_48_2.pth,0.9229,0.8673,0.9229,0.9393,0.9788
