pth,dice,iou,recall,precision,specificity
./Checkpoints/HAM10000/Unet++_64_2.pth,0.3655,0.2455,1.0,0.2455,0.0554
./Checkpoints/HAM10000/Unet++_64_2.pth,0.3744,0.2534,1.0,0.2534,0.0985
./Checkpoints/HAM10000/Unet++_64_2.pth,0.3817,0.2596,1.0,0.2596,0.1322
./Checkpoints/HAM10000/Unet++_64_2.pth,0.3939,0.2707,1.0,0.2708,0.1845
./Checkpoints/HAM10000/Unet++_64_2.pth,0.5663,0.4377,0.9981,0.4387,0.5993
./Checkpoints/HAM10000/Unet++_64_2.pth,0.8289,0.7405,0.9762,0.7583,0.9035
./Checkpoints/HAM10000/Unet++_64_2.pth,0.9027,0.8409,0.9244,0.9066,0.9736
./Checkpoints/HAM10000/Unet++_64_2.pth,0.9038,0.8428,0.9174,0.9151,0.9766
./Checkpoints/HAM10000/Unet++_64_2.pth,0.904,0.8433,0.91,0.9229,0.9793
./Checkpoints/HAM10000/Unet++_64_2.pth,0.8638,0.7935,0.8132,0.9675,0.9943
