pth,dice,iou,recall,precision,specificity
./Checkpoints/TUSI/DeepLabV3_64_2.pth,0.0743,0.0395,1.0,0.0395,0.0
./Checkpoints/TUSI/DeepLabV3_64_2.pth,0.0743,0.0395,1.0,0.0395,0.0
./Checkpoints/TUSI/DeepLabV3_64_2.pth,0.0743,0.0395,1.0,0.0395,0.0
./Checkpoints/TUSI/DeepLabV3_64_2.pth,0.0743,0.0395,1.0,0.0395,0.0
./Checkpoints/TUSI/DeepLabV3_64_2.pth,0.0743,0.0395,1.0,0.0395,0.0
./Checkpoints/TUSI/DeepLabV3_64_2.pth,0.0743,0.0395,0.9998,0.0395,0.001
./Checkpoints/TUSI/DeepLabV3_64_2.pth,0.7332,0.6101,0.8607,0.6872,0.9877
./Checkpoints/TUSI/DeepLabV3_64_2.pth,0.7382,0.6169,0.8348,0.7142,0.9896
./Checkpoints/TUSI/DeepLabV3_64_2.pth,0.7383,0.6181,0.8078,0.7372,0.9911
./Checkpoints/TUSI/DeepLabV3_64_2.pth,0.6906,0.5707,0.6632,0.8134,0.9958
