pth,dice,iou,recall,precision,specificity
./Checkpoints/TUSI/SwinUNETR_48_2.pth,0.6682,0.5377,0.8283,0.6354,0.985
./Checkpoints/TUSI/SwinUNETR_48_2.pth,0.6682,0.5377,0.8283,0.6354,0.985
./Checkpoints/TUSI/SwinUNETR_48_2.pth,0.6682,0.5377,0.8283,0.6354,0.985
./Checkpoints/TUSI/SwinUNETR_48_2.pth,0.6682,0.5377,0.8283,0.6354,0.985
./Checkpoints/TUSI/SwinUNETR_48_2.pth,0.6682,0.5377,0.8283,0.6354,0.985
./Checkpoints/TUSI/SwinUNETR_48_2.pth,0.6682,0.5377,0.8282,0.6355,0.985
./Checkpoints/TUSI/SwinUNETR_48_2.pth,0.6686,0.5381,0.8255,0.6378,0.9852
./Checkpoints/TUSI/SwinUNETR_48_2.pth,0.6688,0.5384,0.8236,0.6394,0.9854
./Checkpoints/TUSI/SwinUNETR_48_2.pth,0.6691,0.5387,0.8217,0.6411,0.9855
./Checkpoints/TUSI/SwinUNETR_48_2.pth,0.6694,0.539,0.819,0.6433,0.9857
