pth,dice,iou,recall,precision,specificity
./Checkpoints/TUSI/TEUnet2_32_2.pth,0.0743,0.0395,1.0,0.0395,0.0
./Checkpoints/TUSI/TEUnet2_32_2.pth,0.1295,0.0721,0.9968,0.0722,0.8772
./Checkpoints/TUSI/TEUnet2_32_2.pth,0.5117,0.4951,0.9692,0.5536,0.9274
./Checkpoints/TUSI/TEUnet2_32_2.pth,0.7432,0.6395,0.9337,0.6325,0.9833
./Checkpoints/TUSI/TEUnet2_32_2.pth,0.7805,0.6742,0.8838,0.7437,0.9906
./Checkpoints/TUSI/TEUnet2_32_2.pth,0.7859,0.6816,0.8722,0.7615,0.9916
./Checkpoints/TUSI/TEUnet2_32_2.pth,0.7885,0.6851,0.8633,0.7729,0.9922
./Checkpoints/TUSI/TEUnet2_32_2.pth,0.7888,0.6856,0.8615,0.7749,0.9923
./Checkpoints/TUSI/TEUnet2_32_2.pth,0.7891,0.686,0.8598,0.7768,0.9924
./Checkpoints/TUSI/TEUnet2_32_2.pth,0.7904,0.6876,0.8519,0.7858,0.9929
