pth,dice,iou,recall,precision,specificity
./Checkpoints/Unet_64_BUSI_0.pth,0.7533,0.6729,0.6790,0.6431,0.9851
./Checkpoints/AttUnet_64_BUSI_0.pth,0.7350,0.651,0.7044,0.6090,0.9808
./Checkpoints/AAUnet_32_BUSI_0.pth,0.7469,0.6729,0.6286,0.6469,0.9867
./Checkpoints/TEUnet2_16_BUSI_0.pth,0.7779,0.7877,0.7063,0.7118,0.9892
./Checkpoints/TEUnet2_32_0.pth,0.7958,0.7262,0.6599,0.6813,0.9855
./Checkpoints/BUSI/Unet++_64_0.pth,0.6932,0.5529,0.6631,0.7792,0.9869
./Checkpoints/Segformer_64_BUSI_0.pth,0.7861,0.7220,0.684,0.6458,0.9825
./Checkpoints/DeepLabV3_64_BUSI_0.pth,0.7751,0.7099,0.6472,0.6769,0.9865
./Checkpoints/SwinUNETR_48_BUSI_0.pth,0.6339,0.5496,0.5943,0.6108,0.9828
./Checkpoints/Unet_64_BUSI_1.pth,0.7118,0.6364,0.5963,0.6255,0.9891
./Checkpoints/AttUnet_64_BUSI_1.pth,0.6600,0.5852,0.6136,0.6136,0.9862
./Checkpoints/AAUnet_32_BUSI_1.pth,0.7538,0.6794,0.6423,0.6552,0.9858
./Checkpoints/TEUnet2_16_BUSI_1.pth,0.7704,0.6998,0.6505,0.6478,0.9855
./Checkpoints/TEUnet2_32_BUSI_1.pth,0.7804,0.7127,0.6546,0.6516,0.9848
./Checkpoints/BUSI/Unet++_64_1.pth,0.7156,0.5846,0.7149,0.7587,0.9831
./Checkpoints/Segformer_64_BUSI_1.pth,0.7818,0.7224,0.6561,0.6606,0.9873
./Checkpoints/DeepLabV3_64_BUSI_1.pth,0.7886,0.7252,0.6682,0.6632,0.9825
./Checkpoints/SwinUNETR_48_BUSI_1.pth,0.6177,0.5345,0.5730,0.6336,0.9836
./Checkpoints/Unet_64_BUSI_2.pth,0.6670,0.5871,0.6057,0.6231,0.9830
./Checkpoints/AttUnet_64_BUSI_2.pth,0.6810,0.5996,0.6050,0.6007,0.9832
./Checkpoints/AAUnet_32_BUSI_2.pth,0.6303,0.5424,0.6319,0.5707,0.9733
./Checkpoints/BUSI/TEUnet2_16_2.pth,0.7526,0.6814,0.6463,0.6665,0.9831
./Checkpoints/BUSI/TEUnet2_32_2.pth,0.7467,0.6758,0.6349,0.6577,0.9834
./Checkpoints/BUSI/Unet++_64_2.pth,0.6607,0.5251,0.6547,0.7398,0.9812
./Checkpoints/Segformer_64_BUSI_2.pth,0.7840,0.7195,0.6466,0.6580,0.9848
./Checkpoints/DeepLabV3_64_BUSI_2.pth,0.7784,0.7118,0.6823,0.6663,0.9789
./Checkpoints/SwinUNETR_48_BUSI_2.pth,0.6022,0.5158,0.6119,0.5943,0.9759
./Checkpoints/Unet_64_BUSI_3.pth,0.6487,0.5648,0.6177,0.6117,0.9873
./Checkpoints/AttUnet_64_BUSI_3.pth,0.6967,0.613,0.6347,0.6425,0.9893
./Checkpoints/AAUnet_32_BUSI_3.pth,0.7023,0.6294,0.6402,0.6189,0.9892
./Checkpoints/TEUnet2_16_3.pth,0.7707,0.7051,0.6628,0.6877,0.9895
./Checkpoints/TEUnet2_32_3.pth,0.7846,0.7150,0.6889,0.6688,0.9879
./Checkpoints/BUSI/Unet++_64_3.pth,0.7197,0.5842,0.6545,0.852,0.9927
./Checkpoints/Segformer_64_BUSI_3.pth,0.7815,0.7147,0.6843,0.6777,0.9885
./Checkpoints/DeepLabV3_64_BUSI_3.pth,0.7571,0.6913,0.6645,0.6652,0.9887
./Checkpoints/SwinUNETR_48_BUSI_3.pth,0.6392,0.5598,0.5847,0.6497,0.9906
./Checkpoints/BUSI/Unet_64_4.pth,0.5898,0.5058,0.5702,0.5643,0.9844
./Checkpoints/BUSI/AttUnet_64_4.pth,0.6179,0.5385,0.5530,0.5650,0.9843
./Checkpoints/BUSI/AAUnet_32_4.pth,0.6452,0.5661,0.5731,0.5869,0.9872
./Checkpoints/BUSI/TEUnet2_16_4.pth,0.7123,0.6387,0.598,0.6175,0.9823
./Checkpoints/BUSI/TEUnet2_32_4.pth,0.7272,0.6033,0.7304,0.7685,0.9824
./Checkpoints/BUSI/Unet++_64_4.pth,0.6734,0.5372,0.6716,0.7208,0.9813
./Checkpoints/BUSI/Segformer_64_4.pth,0.7214,0.6544,0.6110,0.6345,0.9781
./Checkpoints/BUSI/DeepLabV3_64_4.pth,0.7313,0.6652,0.6298,0.6324,0.9812
./Checkpoints/BUSI/SwinUNETR_48_4.pth,0.5802,0.5019,0.5393,0.5670,0.9801
