pth,dice,iou,recall,precision,specificity
./Checkpoints/HAM10000/Unet_64_0.pth,0.9155,0.8482,0.9074,0.9296,0.9785
./Checkpoints/HAM10000/Unet_64_1.pth,0.9093,0.8391,0.8994,0.9269,0.9795
./Checkpoints/HAM10000/Unet_64_2.pth,0.9095,0.8396,0.923,0.9055,0.9706
./Checkpoints/HAM10000/Unet_64_3.pth,0.9082,0.8374,0.9201,0.9039,0.9715
./Checkpoints/HAM10000/Unet_64_4.pth,0.9150,0.8491,0.8900,0.9502,0.9864
./Checkpoints/HAM10000/AttUnet_64_0.pth,0.9193,0.8548,0.9063,0.9388,0.9816
./Checkpoints/HAM10000/AttUnet_64_1.pth,0.9154,0.8488,0.9193,0.9182,0.9764
./Checkpoints/HAM10000/AttUnet_64_2.pth,0.9144,0.8467,0.9066,0.9295,0.9797
./Checkpoints/HAM10000/AttUnet_64_3.pth,0.9011,0.8255,0.9176,0.8921,0.9678
./Checkpoints/HAM10000/AttUnet_64_4.pth,0.9171,0.8513,0.9138,0.9268,0.9792
./Checkpoints/HAM10000/AAUnet_32_0.pth,0.9203,0.8623,0.9285,0.9284,0.9777
./Checkpoints/HAM10000/AAUnet_32_1.pth,0.9250,0.8721,0.9377,0.9301,0.9785
./Checkpoints/HAM10000/AAUnet_32_2.pth,0.9192,0.8605,0.9267,0.9284,0.9742
./Checkpoints/HAM10000/AAUnet_32_3.pth,0.8995,0.8307,0.9317,0.8922,0.9672
./Checkpoints/HAM10000/AAUnet_32_4.pth,0.9361,0.8887,0.9425,0.9422,0.9797
./Checkpoints/HAM10000/Unet++_64_0.pth,0.9097,0.8499,0.9053,0.9349,0.983
./Checkpoints/HAM10000/Unet++_64_1.pth,0.8704,0.7906,0.9358,0.8423,0.9525
./Checkpoints/HAM10000/Unet++_64_2.pth,0.9038,0.8427,0.9174,0.9151,0.9766
./Checkpoints/HAM10000/Unet++_64_3.pth,0.9005,0.8378,0.8998,0.9273,0.9824
./Checkpoints/HAM10000/Unet++_64_4.pth,0.905,0.8447,0.9092,0.9263,0.9809
./Checkpoints/HAM10000/SwinUNETR_48_0.pth,0.8992,0.8297,0.891,0.931,0.9809
./Checkpoints/HAM10000/SwinUNETR_48_1.pth,0.9206,0.8643,0.9299,0.9292,0.974
./Checkpoints/HAM10000/SwinUNETR_48_2.pth,0.9231,0.8678,0.9281,0.9347,0.9766
./Checkpoints/HAM10000/SwinUNETR_48_3.pth,0.9204,0.8638,0.9278,0.9302,0.9746
./Checkpoints/HAM10000/SwinUNETR_48_4.pth,0.9119,0.8502,0.9001,0.9447,0.9845
./Checkpoints/HAM10000/DeepLabV3_64_1.pth,0.928,0.8696,0.9250,0.9371,0.9802
./Checkpoints/HAM10000/DeepLabV3_64_0.pth,0.9348,0.8805,0.9405,0.9332,0.9772
./Checkpoints/HAM10000/DeepLabV3_64_2.pth,0.9337,0.8783,0.9236,0.9483,0.9846
./Checkpoints/HAM10000/DeepLabV3_64_3.pth,0.9363,0.8832,0.9253,0.9518,0.9856
./Checkpoints/HAM10000/DeepLabV3_64_4.pth,0.9374,0.8852,0.9363,0.9430,0.9826
./Checkpoints/HAM10000/TEUnet2_32_0.pth,0.9356,0.8882,0.9429,0.9397,0.9792
./Checkpoints/HAM10000/TEUnet2_32_1.pth,0.9342,0.8869,0.9409,0.9417,0.9798
./Checkpoints/HAM10000/TEUnet2_32_2.pth,0.9348,0.8871,0.9397,0.9425,0.9801
./Checkpoints/HAM10000/TEUnet2_32_3.pth,0.9362,0.8897,0.9421,0.9428,0.9803
./Checkpoints/HAM10000/TEUnet2_32_4.pth,0.9370,0.8914,0.9401,0.9464,0.9829
