pth,dice,iou,recall,precision,specificity
./Checkpoints/LungCancer/Unet_64_0.pth,0.3946,0.3210,0.4293,0.4449,0.9995
./Checkpoints/LungCancer/Unet_64_1.pth,0.3653,0.292,0.3586,0.4513,0.9997
./Checkpoints/LungCancer/Unet_64_2.pth,0.0,0.0,0.0,0.0,1.0
./Checkpoints/LungCancer/Unet_64_3.pth,0.4192,0.3389,0.444,0.4831,0.9994
./Checkpoints/LungCancer/Unet_64_4.pth,0.3718,0.2979,0.3827,0.4521,0.9996
./Checkpoints/LungCancer/AttUnet_64_0.pth,0.4854,0.39,0.524,0.5423,0.9993
./Checkpoints/LungCancer/AttUnet_64_1.pth,0.4225,0.3464,0.4154,0.5037,0.9997
./Checkpoints/LungCancer/AttUnet_64_2.pth,0.4225,0.3464,0.4154,0.5037,0.9997
./Checkpoints/LungCancer/AttUnet_64_3.pth,0.3734,0.3026,0.3588,0.4812,0.9997
./Checkpoints/LungCancer/AttUnet_64_4.pth,0.3854,0.3121,0.4108,0.4344,0.9995
./Checkpoints/LungCancer/Unet++_64_0.pth,0.4364,0.3513,0.488,0.4836,0.9994
./Checkpoints/LungCancer/Unet++_64_1.pth,0.4214,0.3265,0.5256,0.4256,0.9985
./Checkpoints/LungCancer/Unet++_64_2.pth,0.3297,0.2696,0.3341,0.4238,0.9997
./Checkpoints/LungCancer/Unet++_64_3.pth,0.4270,0.3405,0.4699,0.4915,0.9995
./Checkpoints/LungCancer/Unet++_64_4.pth,0.3597,0.2949,0.3584,0.4673,0.9997
./Checkpoints/LungCancer/AAUnet_32_0.pth,0.3536,0.2572,0.4893,0.3425,0.9982
./Checkpoints/LungCancer/AAUnet_32_1.pth,0.3335,0.2691,0.3233,0.4189,0.9998
./Checkpoints/LungCancer/AAUnet_32_2.pth,0.3415,0.269,0.3471,0.4056,0.9996
./Checkpoints/LungCancer/AAUnet_32_3.pth,0.3530,0.2868,0.3825,0.3874,0.9996
./Checkpoints/LungCancer/AAUnet_32_4.pth,0.3766,0.3024,0.3716,0.4905,0.9997
./Checkpoints/LungCancer/DeepLabV3_64_0.pth,0.4082,0.3101,0.5283,0.4071,0.9990
./Checkpoints/LungCancer/DeepLabV3_64_1.pth,0.3689,0.2949,0.355,0.4750,0.9998
./Checkpoints/LungCancer/DeepLabV3_64_2.pth,0.3763,0.2942,0.352,0.5213,0.9997
./Checkpoints/LungCancer/DeepLabV3_64_3.pth,0.3864,0.3026,0.3923,0.4921,0.9997
./Checkpoints/LungCancer/DeepLabV3_64_4.pth,0.3953,0.3154,0.3764,0.5479,0.9998
./Checkpoints/LungCancer/SwinUNETR_48_0.pth,0.3565,0.2662,0.4065,0.3767,0.9990
./Checkpoints/LungCancer/SwinUNETR_48_1.pth,0.2839,0.2159,0.2669,0.4609,0.9997
./Checkpoints/LungCancer/SwinUNETR_48_2.pth,0.3307,0.2622,0.322,0.4564,0.9996
./Checkpoints/LungCancer/SwinUNETR_48_3.pth,0.3000,0.2427,0.2753,0.4435,0.9999
./Checkpoints/LungCancer/SwinUNETR_48_4.pth,0.3574,0.2786,0.3527,0.5135,0.9997
./Checkpoints/LungCancer/TEUnet2_32_0.pth,0.3671,0.271,0.5025,0.3362,0.9985
./Checkpoints/LungCancer/TEUnet2_32_1.pth,0.3055,0.2228,0.3716,0.3572,0.9991
./Checkpoints/LungCancer/TEUnet2_32_2.pth,0.3662,0.2706,0.5042,0.3275,0.9983
./Checkpoints/LungCancer/TEUnet2_32_3.pth,0.3659,0.2657,0.5639,0.3115,0.9973
./Checkpoints/LungCancer/TEUnet2_32_4.pth,0.3231,0.2387,0.4032,0.3359,0.9990






./Checkpoints/LungCancer/Unet_64_2.pth,0.4328,0.3479,0.4821,0.4947,0.9992
./Checkpoints/LungCancer/AttUnet_64_2.pth,0.3715,0.3019,0.4164,0.3905,0.9995
