pth,dice,iou,recall,precision,specificity
./Checkpoints/TUSI/Unet_64_0.pth,0.7430,0.6232,0.8298,0.7365,0.9904
./Checkpoints/TUSI/Unet_64_1.pth,0.7183,0.6051,0.7832,0.7342,0.9912
./Checkpoints/TUSI/Unet_64_2.pth,0.7377,0.6228,0.8464,0.7045,0.9895
./Checkpoints/TUSI/Unet_64_3.pth,0.7265,0.6132,0.7963,0.7466,0.9918
./Checkpoints/TUSI/Unet_64_4.pth,0.7291,0.6096,0.8064,0.7435,0.9895
./Checkpoints/TUSI/AttUnet_64_0.pth,0.7278,0.609,0.8029,0.7372,0.9904
./Checkpoints/TUSI/AttUnet_64_1.pth,0.7284,0.6176,0.7588,0.7752,0.9937
./Checkpoints/TUSI/AttUnet_64_2.pth,0.757,0.6394,0.8771,0.7193,0.9889
./Checkpoints/TUSI/AttUnet_64_3.pth,0.7243,0.6105,0.8173,0.72,0.9907
./Checkpoints/TUSI/AttUnet_64_4.pth,0.7439,0.6245,0.8218,0.7495,0.9917
./Checkpoints/TUSI/Unet++_64_0.pth,0.7125,0.5856,0.7625,0.7455,0.9919
./Checkpoints/TUSI/Unet++_64_1.pth,0.7517,0.6407,0.7764,0.7937,0.9941
./Checkpoints/TUSI/Unet++_64_2.pth,0.7757,0.6626,0.811,0.8063,0.9936
./Checkpoints/TUSI/Unet++_64_3.pth,0.7391,0.6316,0.7971,0.7462,0.9924
./Checkpoints/TUSI/Unet++_64_4.pth,0.7388,0.6209,0.7896,0.7682,0.9924
./Checkpoints/TUSI/AAUnet_32_0.pth,0.7297,0.6075,0.8429,0.7143,0.9873
./Checkpoints/TUSI/AAUnet_32_1.pth,0.705,0.5981,0.7471,0.7384,0.9926
./Checkpoints/TUSI/AAUnet_32_2.pth,0.7378,0.6208,0.8455,0.7179,0.9897
./Checkpoints/TUSI/AAUnet_32_3.pth,0.7067,0.5855,0.7706,0.7227,0.9922
./Checkpoints/TUSI/AAUnet_32_4.pth,0.716,0.5935,0.8271,0.7153,0.9880
./Checkpoints/TUSI/DeepLabV3_64_0.pth,0.7451,0.6272,0.7686,0.7966,0.9938
./Checkpoints/TUSI/DeepLabV3_64_1.pth,0.7443,0.6297,0.7777,0.7851,0.9939
./Checkpoints/TUSI/DeepLabV3_64_2.pth,0.7382,0.6169,0.8348,0.7142,0.9896
./Checkpoints/TUSI/DeepLabV3_64_3.pth,0.7517,0.633,0.8395,0.7384,0.9916
./Checkpoints/TUSI/DeepLabV3_64_4.pth,0.7545,0.6358,0.8175,0.7527,0.9917
./Checkpoints/TUSI/SwinUNETR_48_0.pth,0.667,0.5328,0.8156,0.6366,0.9851
./Checkpoints/TUSI/SwinUNETR_48_1.pth,0.6406,0.5052,0.7485,0.6336,0.9867
./Checkpoints/TUSI/SwinUNETR_48_2.pth,0.6688,0.5384,0.8236,0.6394,0.9854
./Checkpoints/TUSI/SwinUNETR_48_3.pth,0.6702,0.5342,0.8108,0.6449,0.9872
./Checkpoints/TUSI/SwinUNETR_48_4.pth,0.6839,0.5487,0.81,0.6765,0.9864
./Checkpoints/TUSI/TEUnet2_32_0.pth,0.7687,0.6575,0.8266,0.7709,0.9920
./Checkpoints/TUSI/TEUnet2_32_1.pth,0.7711,0.6625,0.8066,0.8026,0.9934
./Checkpoints/TUSI/TEUnet2_32_2.pth,0.7888,0.6856,0.8615,0.7749,0.9923
./Checkpoints/TUSI/TEUnet2_32_3.pth,0.7554,0.652,0.7983,0.7661,0.9935
./Checkpoints/TUSI/TEUnet2_32_4.pth,0.7866,0.6784,0.8442,0.8006,0.9926
